longitude,latitude,type,filterrank,category_en,sizerank,maki,class,name
-70.7653360068798,-33.45738417025243,Kindergarten,2,Kindergarten,16,school,education,Jardin Infantil Arco Iris
-70.76596766710281,-33.45668486850746,Restaurant,1,Restaurant,16,restaurant,food_and_drink,Restaurant Hong Fa
-70.66022828221321,-33.45212640181316,University,4,Historic Building,15,marker,historic,Palacio Piwonka Jilabert
-70.66041067242622,-33.452152137570195,Educational Institution,5,Educational Institution,16,marker,commercial_services,Casa Central Universidad Diego Portales
-70.66036239266396,-33.45182092898328,Fast Food,5,Fast Food,16,fast-food,food_and_drink,
-70.66040128469467,-33.45182652373343,Cafe,5,Cafe,16,cafe,food_and_drink,Coffee Friends
-70.66030070185661,-33.451810858432104,Cafe,5,Cafe,16,cafe,food_and_drink,Rumari
-70.66033959388733,-33.45181533423277,Shoes,5,Shoe Store,16,shoe,store_like,Entre cueros
-70.66025376319885,-33.45180078787976,Greengrocer,5,Greengrocer,16,grocery,food_and_drink_stores,
-70.66012233495712,-33.45177728991975,College,4,College,16,college,education,Centro de Formación Técnica CEITEC
-70.65992519259453,-33.45177840887037,Parking,5,Car Parking,16,parking,motorist,
-70.65974414348602,-33.45177281411711,Bicycle Rental,5,Bicycle Rental,16,bicycle,commercial_services,Bikesantiago
-70.66077411174774,-33.45181197738229,Commercial,5,,16,marker,building,Comercio y vivienda
-70.66066145896912,-33.451769457264994,Convenience,5,Convenience Store,16,convenience,food_and_drink_stores,Miga's
-70.66025242209435,-33.4516765843047,School,5,School,16,school,education,Colegio de Adultos Altazol
-70.74144825339317,-33.32456019480811,Parking,5,Car Parking,14,parking,motorist,
-70.74137315154076,-33.32503532337537,School,1,School,12,school,education,Colegio Sol del Valle
-70.74283227324486,-33.325167552091294,Veterinary,3,Veterinary Office,16,veterinary,commercial_services,Valle Chicauma
-70.74304148554802,-33.324963606021775,School,2,School,15,school,education,Academia Aliwen
-70.74271962046623,-33.32530874524442,Dentist,3,Dentist,16,dentist,medical,Jardin del Valle
-70.74029624462128,-33.32479439765676,Sports Centre,1,Sports Complex,13,marker,sport_and_leisure,Proclub
