X,Y,FID,objectid,id,especial,estacion,nombre,temporal,f1,tipo,linea,longitud,latitud
-7865733.36943298,-3964261.49493172,31,31,31,EXISTENTE,EXISTENTE,LO OVALLE,,1,ESTACION METRO,Linea 2,-70.65908506570588,-33.51798591758569
-7865975.87024085,-3965417.7047949,32,32,32,EXISTENTE,EXISTENTE,EL PARRON,,0,ESTACION METRO,Linea 2,-70.6612634875271,-33.526644764157545
-7866302.23765708,-3966876.19839294,33,33,33,EXISTENTE,EXISTENTE,LA CISTERNA,,0,ESTACION METRO,Linea 2,-70.66419529590948,-33.53756617471398
-7862740.30219632,-3954037.28625526,34,34,34,EXISTENTE,EXISTENTE,PARQUE BUSTAMANTE,,1,ESTACION METRO,Linea 5,-70.63219788525498,-33.441379189014256
-7862525.01420299,-3954807.45757813,35,35,35,EXISTENTE,EXISTENTE,SANTA ISABEL,,1,ESTACION METRO,Linea 5,-70.63026392030602,-33.44715219551061
-7862388.84533738,-3955514.38593105,36,36,36,CONSTRUCCION INTERMODAL,EXISTENTE,IRARRAZAVAL,INTERMODAL,1,ESTACION METRO,Linea 5,-70.62904069457404,-33.45245081076455
-7861929.33208428,-3957478.45873245,37,37,37,CONSTRUCCION INTERMODAL,EXISTENTE,NUBLE,INTERMODAL,1,ESTACION METRO,Linea 5,-70.6249128167889,-33.467170357440985
-7861657.52784201,-3958748.7861242,38,38,38,EXISTENTE,EXISTENTE,RODRIGO DE ARAYA,,1,ESTACION METRO,Linea 5,-70.62247115773769,-33.47668936767582
-7861289.5738865,-3960031.748385,39,39,39,EXISTENTE,EXISTENTE,CARLOS VALDOVINO,,1,ESTACION METRO,Linea 5,-70.61916577111683,-33.486301994065585
-7860982.64624003,-3961346.95018026,40,40,40,EXISTENTE,EXISTENTE,SAN JOAQUIN,,1,ESTACION METRO,Linea 5,-70.6164085931574,-33.49615506864477
-7860623.57742677,-3962924.62214799,41,41,41,EXISTENTE,EXISTENTE,PEDRERO,,1,ESTACION METRO,Linea 5,-70.61318302312738,-33.50797300728352
-7859838.52387941,-3963610.37932878,42,42,42,EXISTENTE,EXISTENTE,MIRADOR,,1,ESTACION METRO,Linea 5,-70.60613076712292,-33.51310933643454
-7859013.33776133,-3964621.29499967,43,43,43,EXISTENTE,EXISTENTE,BELLAVISTA,,1,ESTACION METRO,Linea 5,-70.59871799410178,-33.52068055036971
-7860149.59439664,-3951537.38511871,44,44,44,EXISTENTE,EXISTENTE,LOS LEONES,,1,ESTACION METRO,Linea 1,-70.6089251611236,-33.42263792481094
-7860692.30057202,-3951940.82306546,45,45,45,EXISTENTE,EXISTENTE,PEDRO DE VALDIVIA,,1,ESTACION METRO,Linea 1,-70.61380037364488,-33.42566269312535
-7859341.30569115,-3950983.66270322,46,46,46,EXISTENTE,EXISTENTE,TOBALABA,,1,ESTACION METRO,Linea 1,-70.60166418014235,-33.41848622997368
-7862072.58728882,-3953072.12970751,47,47,47,EXISTENTE,EXISTENTE,SALVADOR,,1,ESTACION METRO,Linea 1,-70.62619970018658,-33.43414408096023
-7861314.26805635,-3952382.52182516,48,48,48,EXISTENTE,EXISTENTE,MANUEL MONTT,,1,ESTACION METRO,Linea 1,-70.61938760261887,-33.42897420029763
-7858007.33269841,-3950566.66386463,49,49,49,EXISTENTE,EXISTENTE,ALCANTARA,,1,ESTACION METRO,Linea 1,-70.58968089686255,-33.415359528873935
-7858662.92758736,-3950729.12274374,50,50,50,EXISTENTE,EXISTENTE,EL GOLF,,1,ESTACION METRO,Linea 1,-70.5955702059519,-33.416577676003065
-7857409.56274884,-3950409.86717627,51,51,51,EXISTENTE,EXISTENTE,ESCUELA MILITAR,,1,ESTACION METRO,Linea 1,-70.58431103804168,-33.41418382170818
-7858766.67090008,-3965397.7800332,52,52,52,EXISTENTE,EXISTENTE,VICENTE VALDES,,0,ESTACION METRO,Linea 5,-70.59650214798631,-33.526495555114515
-7858358.67398348,-3966608.61915088,53,53,53,EXISTENTE,EXISTENTE,ROJAS MAGALLANES,,0,ESTACION METRO,Linea 4,-70.59283704932575,-33.53556260606662
-7857784.69894657,-3968152.47046408,54,54,54,EXISTENTE,EXISTENTE,TRINIDAD,,0,ESTACION METRO,Linea 4,-70.58768094384216,-33.54712195229193
-7857424.39480365,-3970486.11106472,55,55,55,EXISTENTE,EXISTENTE,LOS QUILLAYES,,0,ESTACION METRO,Linea 4,-70.58444427665698,-33.56459178783087
-7857146.23314446,-3972023.18317255,56,56,56,EXISTENTE,EXISTENTE,SOTERO DEL RIO,,0,ESTACION METRO,Linea 4,-70.58194550795794,-33.576096512545114
-7857342.02723102,-3971068.67398918,57,57,57,EXISTENTE,EXISTENTE,ELISA CORREA,,0,ESTACION METRO,Linea 4,-70.5837043561629,-33.568952353188244
-7856797.79888001,-3974436.60328099,58,58,58,EXISTENTE,EXISTENTE,LAS MERCEDES,,0,ESTACION METRO,Linea 4,-70.57881546970526,-33.594157460037216
-7856958.89185822,-3973327.13089782,59,59,59,EXISTENTE,EXISTENTE,PROTECTORA DE LA INFANCIA,,0,ESTACION METRO,Linea 4,-70.58026259255017,-33.5858551386495
-7856467.53771208,-3976469.82468868,60,60,60,EXISTENTE,EXISTENTE,PLAZA PUENTE ALTO,,0,ESTACION METRO,Linea 4,-70.57584868315624,-33.609370237575504
-7857467.18029509,-3952748.4511542,61,61,61,EXISTENTE,EXISTENTE,BILBAO,,0,ESTACION METRO,Linea 4,-70.58482862526598,-33.43171755265378
-7858177.44360608,-3952056.44821994,62,62,62,EXISTENTE,EXISTENTE,COLON,,0,ESTACION METRO,Linea 4,-70.5912090291461,-33.426529571086014
-7856210.50794051,-3953600.2625012,63,63,63,EXISTENTE,EXISTENTE,PRINCIPE DE GALES,,0,ESTACION METRO,Linea 4,-70.5735397454335,-33.438103200310486
-7856007.34532926,-3954923.8591854,64,64,64,EXISTENTE,EXISTENTE,SIMON BOLIVAR,,0,ESTACION METRO,Linea 4,-70.57171470464502,-33.448024678651564
-7855906.53894111,-3955651.95993811,65,65,65,EXISTENTE,EXISTENTE,PLAZA EGAÑA,,0,ESTACION METRO,Linea 4,-70.57080914545288,-33.453481926758634
-7856061.7561024,-3956394.5911923,66,66,66,EXISTENTE,EXISTENTE,LOS ORIENTALES,,0,ESTACION METRO,Linea 4,-70.57220348493632,-33.45904772986842
-7856519.96721967,-3957710.09753647,67,67,67,EXISTENTE,EXISTENTE,GRECIA,,0,ESTACION METRO,Linea 4,-70.57631966543632,-33.46890618647315
-7856843.67009512,-3959378.08969236,68,68,68,EXISTENTE,EXISTENTE,LOS PRESIDENTES,,0,ESTACION METRO,Linea 4,-70.5792275378416,-33.48140457347375
-7856944.54438226,-3960227.69657845,69,69,69,EXISTENTE,EXISTENTE,QUILIN,,0,ESTACION METRO,Linea 4,-70.58013370698073,-33.487770046836275
-7857721.94548569,-3961898.66941653,70,70,70,EXISTENTE,EXISTENTE,LAS TORRES,,0,ESTACION METRO,Linea 4,-70.58711721991176,-33.50028804030355
-7858030.19705064,-3962912.32846299,71,71,71,EXISTENTE,EXISTENTE,MACUL,,0,ESTACION METRO,Linea 4,-70.58988629083325,-33.50788092466
-7858879.28536426,-3964776.58709012,72,72,72,EXISTENTE,EXISTENTE,VICUNA MACKENNA,,0,ESTACION METRO,Linea 4,-70.59751378093016,-33.52184354577839
-7859761.88973137,-3966023.25028026,73,73,73,EXISTENTE,EXISTENTE,SANTA JULIA,,0,ESTACION METRO,Linea 4A,-70.60544235085823,-33.53117934363066
-7860265.32787701,-3966887.3031228,74,74,74,EXISTENTE,EXISTENTE,LA GRANJA,,0,ESTACION METRO,Linea 4A,-70.6099648126666,-33.53764932324176
-7862956.65267159,-3967537.21345429,75,75,75,EXISTENTE,EXISTENTE,SANTA ROSA,,0,ESTACION METRO,Linea 4A,-70.6341413946416,-33.542515496558195
-7863977.99075954,-3967362.13906361,76,76,76,EXISTENTE,EXISTENTE,SAN RAMON,,0,ESTACION METRO,Linea 4A,-70.6433162307882,-33.54120466217817
-7864392.95758328,-3952474.35525029,77,77,77,EXISTENTE,EXISTENTE,PATRONATO,,0,ESTACION METRO,Linea 2,-70.64704394118988,-33.429662678660804
-7864159.676245,-3951476.53934479,78,78,78,EXISTENTE,EXISTENTE,CERRO BLANCO,,0,ESTACION METRO,Linea 2,-70.6449483392731,-33.42218172563519
-7865383.50532202,-3957852.75599855,79,79,79,EXISTENTE,EXISTENTE,RONDIZZONI,,1,ESTACION METRO,Linea 2,-70.65594218292347,-33.46997520724521
-7863984.34971419,-3950390.43551477,80,80,80,EXISTENTE,EXISTENTE,CEMENTERIOS,,0,ESTACION METRO,Linea 2,-70.64337335424972,-33.41403811635104
-7863945.78549792,-3949398.84265458,81,81,81,EXISTENTE,EXISTENTE,EINSTEN,,0,ESTACION METRO,Linea 2,-70.64302692600076,-33.40660248365646
-7863906.90540787,-3948120.82787764,82,82,82,EXISTENTE,EXISTENTE,DORSAL,,0,ESTACION METRO,Linea 2,-70.64267766020937,-33.39701812725188
-7863877.02168235,-3947315.89619628,83,83,83,EXISTENTE,EXISTENTE,ZAPADORES,,0,ESTACION METRO,Linea 2,-70.64240921013557,-33.390981072199295
-7864333.95658961,-3945878.14288454,84,84,84,EXISTENTE,EXISTENTE,VESPUCIO,,0,ESTACION METRO,Linea 2,-70.64651392624596,-33.380196758527426
