longitude,latitude,type,class,name,cat,poi_id
-70.75344443321228,-33.43656717948097,Fast Food,food_and_drink,Pizzería Bodegón Cubano,1,16272
-70.75335189700127,-33.4365682986278,Bakery,food_and_drink_stores,Panadería Colo Colo,1,16273
-70.76038062572479,-33.43145252770402,Kindergarten,education_prim,Sala Cuna Tai-Tai,1,16274
-70.76316475868225,-33.436134068573445,School,education_prim,Escuela Particular José Miguel Carrera,1,16275
-70.76245531439781,-33.43293547199461,Restaurant,food_and_drink,Comida China,1,16276
-70.7527805864811,-33.43592926343801,Place Of Worship,religion,Betania,1,16277
-70.76332703232765,-33.436437358350545,Restaurant,food_and_drink,Fuente Los Contreras,1,16278
-70.7531601190567,-33.43721852049659,School,education_prim,Colegio Madre Ana Eugenia,1,16279
-70.75476542115211,-33.43149281935547,Restaurant,food_and_drink,Comida China,1,16280
-70.75471311807632,-33.43150177305325,Alcohol,food_and_drink_stores,Botilleria Plaza Egaña,1,16281
-70.75467422604561,-33.43151296517417,Alcohol,food_and_drink_stores,Plaza Egoño,1,16282
-70.7533210515976,-33.43797393565405,School,education_prim,Escuela Básica N°1058 Santa Beatriz,1,16283
-70.75448781251907,-33.43153758783514,Alcohol,food_and_drink_stores,Vicente,1,16284
