longitude,latitude,type,class,name,cat,poi_id
-70.63784524798393,-33.2822488046261,Swimming Pool,sport_and_leisure,NoName,2,16035
-70.63793241977692,-33.28195730953775,Swimming Pool,sport_and_leisure,NoName,2,16036
-70.64476668834686,-33.288365492381594,Swimming Pool,sport_and_leisure,NoName,2,16037
-70.63707545399666,-33.28328584656712,Swimming Pool,sport_and_leisure,NoName,2,16038
-70.63684210181236,-33.28320064142358,Swimming Pool,sport_and_leisure,NoName,2,16039
-70.6452964246273,-33.288682750231025,Swimming Pool,sport_and_leisure,NoName,2,16040
-70.63647195696831,-33.28311431507491,Swimming Pool,sport_and_leisure,NoName,2,16041
-70.6455485522747,-33.2889394704027,Swimming Pool,sport_and_leisure,NoName,2,16042
-70.63613802194595,-33.283135616389664,Swimming Pool,sport_and_leisure,NoName,2,16043
-70.64713105559349,-33.28846302406941,Swimming Pool,sport_and_leisure,NoName,2,16044
-70.6357316672802,-33.28321297375214,Swimming Pool,sport_and_leisure,NoName,2,16045
-70.64766481518745,-33.2885504661796,Swimming Pool,sport_and_leisure,NoName,2,16046
-70.6510953605175,-33.28314234311956,Pharmacy,medical,Cruz Verde,1,16047
-70.65119460225105,-33.282949509990374,Clinic,medical,Centro Médico Chicureo Clínica Las Condes,3,16048
-70.64845204353333,-33.28884866553748,Swimming Pool,sport_and_leisure,NoName,2,16049
-70.65103501081467,-33.285893532177404,Clinic,medical,Centro Médico Clínica Alemana de Chicureo,3,16050
-70.64054623246193,-33.276529717420644,School,education_prim,Colegio San José,1,16051
-70.65203413367271,-33.28310758834287,Kindergarten,education_prim,Jardín Infantil Los Remolinos,1,16052
-70.64158290624619,-33.27604983970364,Pitch,sport_and_leisure,Colegio San José,1,16053
-70.64898446202278,-33.28912107984967,Swimming Pool,sport_and_leisure,NoName,2,16054
-70.65252095460892,-33.28300780842319,Fast Food,food_and_drink,Pronto Copec,1,16055
-70.66468074917793,-33.463243537801475,School,education_prim,Colegio Mirasol,1,16056
-70.66404774785042,-33.46166601169442,Alcohol,food_and_drink_stores,Calle Calle,1,16057
-70.66176652908325,-33.46373692837123,Pitch,sport_and_leisure,NoName,1,16058
-70.66432133316994,-33.46084255403949,School,education_prim,Colegio Mirasol,1,16059
-70.66412419080734,-33.460793325344945,Restaurant,food_and_drink,El Rincón Quirihuano,1,16060
-70.66092163324356,-33.46447980592713,Track,arts_and_entertainment,Patinódromo,2,16061
-70.66111207008362,-33.46268077823584,Bar,food_and_drink,Bar Suite,1,16062
-70.66115766763687,-33.46225339179092,Attraction,arts_and_entertainment,Paseo de las Estrellas,3,16063
-70.66046699881554,-33.464297443502254,Park,park_like,Parque O'Higgins,1,16064
-70.66129982471466,-33.461748804558496,Food Court,food_and_drink,La Terraza,2,16065
-70.66046431660652,-33.46475390823664,Track,arts_and_entertainment,Roller skating,2,16066
