id,monto,superficie_t,dormitorios,dormitorios_faltante,banos,banos_faltante,antiguedad,antiguedad_faltante,Or_N,Or_S,Or_E,Or_O,Or_Faltante,terraza,estacionamiento,bodegas,flag_Departamento,flag_Multinivel,flag_Semipiso,flag_Premium,flag_Monoambiente,flag_Loft,latitud,longitud,comuna,calle
1551983777,7300,81.0,2,0,2,0,15,0,0,0,0,1,0,6.0,1,1,1,0,0,0,0,0,-33.3799311,-70.5370647,Vitacura,Avenida Vitacura
2812304226,8000,90.0,2,0,2,0,12,0,1,0,0,1,0,10.0,1,1,1,0,0,0,0,0,-33.379967,-70.5369749,Vitacura,Avenida Tabancura
1592358137,15300,188.0,3,0,4,0,10,0,0,0,0,0,1,0.0,2,0,1,0,0,0,0,0,-33.3747592,-70.5251567,Vitacura,Camino El Parque
1572255845,6350,55.0,1,0,1,0,3,0,0,0,0,1,0,12.0,1,1,1,0,0,0,0,0,-33.372972,-70.5217818,Vitacura,Avenida Club De Campo
2837835780,21000,278.0,4,0,5,0,1,0,1,0,0,1,0,38.0,3,1,1,0,0,0,0,0,-33.3739048,-70.5240871,Vitacura,Avenida Las Condes
2851992762,1800,31.0,1,0,1,0,15,0,0,0,0,1,0,0.0,0,0,1,0,0,0,0,0,-33.445903,-70.634667,Santiago,Marín
2852083842,1800,33.0,1,0,1,0,11,0,0,0,0,1,0,0.0,0,0,1,0,0,0,0,0,-33.4482433,-70.6438312,Santiago,San Isidro
2853462940,1800,35.0,1,0,1,0,19,0,0,1,1,0,0,2.0,0,0,1,0,0,0,0,0,-33.4474862,-70.6337056,Santiago,Avenida Santa Isabel
2855405418,1800,31.0,1,0,1,0,22,0,0,0,0,1,0,0.0,1,0,1,0,0,0,0,0,-33.450189,-70.6416645,Santiago,Avenida Santa Isabel
2856615258,1800,30.0,1,0,1,0,15,0,0,0,0,1,0,1.0,0,0,1,0,0,0,0,0,-33.4457363,-70.6340236,Santiago,Marín
2860713782,1800,38.0,1,0,1,0,9,1,0,0,0,0,1,0.0,0,0,1,0,0,0,0,0,-33.4452603,-70.6441632,Santiago,San Isidro
2863559152,1800,30.0,1,0,1,0,18,0,0,1,0,0,0,0.0,0,0,1,0,0,0,0,0,-33.4441146,-70.6337483,Santiago,General Jofré
2864746172,1800,36.0,1,0,1,0,15,0,0,0,0,0,1,2.0,0,0,1,0,0,0,0,0,-33.4509642,-70.6409468,Santiago,Carmen
2744761146,1814,28.0,1,0,1,0,14,0,0,0,0,0,1,0.0,0,0,1,0,0,0,0,0,-33.4491424,-70.6349498,Santiago,Avenida Portugal
2852847740,1820,35.0,1,0,1,0,12,0,0,0,0,0,1,0.0,0,0,1,0,0,0,0,0,-33.4494694,-70.6387306,Santiago,Lira
