id,monto,ppm2,superficie_t,superficie_u,terraza,ambientes,dormitorios,banos,estacionamiento,bodegas,cantidad_pisos,dep_por_piso,piso,tipo_depto,orientacion,antiguedad,latitud,longitud,comuna,calle
2863888498,3990,63.0,66.7,63.0,,9,3,2,3,1,22,,,Departamento,,14,-33.4494415,-70.6338087,Santiago,Argomedo
1585594209,4150,74.0,56.0,56.0,1.0,,2,,,,,,,,,,-33.4443636,-70.6353655,Santiago,Fray Camilo Henríquez
2861870776,4150,62.0,68.0,66.0,2.0,,2,2,1,1,21,11,13,Departamento,,9,-33.448204,-70.6398718,Santiago,Santa Victoria
2862157186,4150,62.0,68.0,66.0,2.0,,2,2,1,1,21,11,15,Departamento,,10,-33.4477637,-70.6390042,Santiago,Santa Victoria
2860936944,4120,52.0,78.0,78.0,,3,3,2,,,4,4,1,Piso,P,0,-33.4436666,-70.6365273,Santiago,Fray Camilo Henríquez
1540785995,4100,66.0,62.0,62.0,,,2,2,1,1,,,9,-,Sur,0,-33.4457946,-70.6411601,Santiago,Curicó
1545956849,4100,77.0,56.0,53.0,3.0,,2,2,1,,16,,6,Departamento,O,7,-33.4495893,-70.6358243,Santiago,Argomedo
1563578657,4100,46.0,115.0,89.0,26.0,,3,2,1,1,13,3,6,Departamento,N,17,-33.446308,-70.6399176,Santiago,Lira
1589806103,4000,57.0,80.0,70.0,,,3,2,1,1,,,14,,,,-33.4490076,-70.6417258,Santiago,Carmen
2755663746,4100,46.0,115.0,88.0,27.0,,3,2,1,1,24,,,Departamento,N,20,-33.446308,-70.6399176,Santiago,Lira
2858603028,4100,61.0,66.7,66.7,,3,3,2,3,1,20,11,16,Departamento,NP,12,-33.4494415,-70.6338087,Santiago,Argomedo
2859405748,4100,67.0,67.0,61.0,,2,2,2,,,,,13,Departamento,S,16,-33.4454204,-70.6445289,Santiago,San Isidro
2860777660,4066,58.0,73.0,70.0,3.0,3,3,2,1,1,,,,Semi piso,SO,0,-33.4492305,-70.6391804,Santiago,Avenida Santa Isabel
2835988400,4050,75.0,54.0,54.0,,,2,2,1,1,7,,6,Departamento,P,1,-33.4461468,-70.6346684,Santiago,Bombero Patricio Canto Feliú
2836014346,4050,67.0,67.0,60.0,7.0,,2,2,1,1,7,,2,Departamento,N,1,-33.4461468,-70.6346684,Santiago,Bombero Patricio Canto Feliú
2860825696,4050,73.0,55.0,55.0,,,2,2,,1,6,,6,Departamento,P,5,-33.4468801,-70.6355657,Santiago,Avenida Portugal
1533642489,4000,75.0,60.0,53.0,,,2,2,1,1,1,,9,,,7,-33.450396,-70.639941,Santiago,Manuel Antonio Tocornal
1538887427,4000,50.0,80.0,80.0,,,3,2,,,,,,,,,-33.4498551,-70.6415649,Santiago,Avenida Santa Isabel
1557084639,4000,58.0,71.0,68.0,3.0,,3,2,1,1,24,4,18,-,Sur-oriente,16,-33.4494189,-70.6403771,Santiago,Manuel Antonio Tocornal
1571351691,4000,64.0,68.0,62.0,6.0,,3,2,1,,25,10,4,Departamento,P,15,-33.4504296,-70.6409653,Santiago,Carmen
1582621717,4000,90.0,44.0,44.0,,4,2,2,,,11,18,,Departamento,O,0,-33.4505439,-70.6430575,Santiago,San Isidro
1586752809,4000,70.0,60.0,57.0,5.0,,3,2,1,1,17,6,4,,SP,27,-33.4459678,-70.6373406,Santiago,Marín
1591466051,4000,1333.0,60.0,3.0,2.0,,3,2,1,,9,7,9,Departamento,O,20,-33.4454567,-70.6353246,Santiago,Fray Camilo Henríquez
2723521506,4000,53.0,75.0,75.0,4.0,,3,2,1,2,20,,16,Departamento,S,15,-33.4487737,-70.6417903,Santiago,Santa Victoria
2779462926,4000,67.0,75.9,58.9,17.0,,2,,,,,,,,,,-33.450415,-70.641258,Santiago,Carmen
2854372542,4000,48.0,85.0,82.0,3.0,,3,2,1,,15,6,7,Departamento,NOSP,17,-33.4463733,-70.63985,Santiago,Lira
2857564854,4000,68.0,60.0,58.0,2.0,,3,2,1,1,10,10,4,Departamento,NP,28,-33.4461223,-70.6361254,Santiago,Marín
2863465558,4000,58.0,68.0,68.0,,,2,2,1,1,15,,12,Departamento,,0,-33.4472072,-70.6384577,Santiago,Angamos
2786365778,3990,53.0,75.0,75.0,7.0,,3,2,1,1,24,11,2,Departamento,SO,15,-33.4488927,-70.6407097,Santiago,Manuel Antonio Tocornal
1542148981,3990,83.0,50.0,48.0,2.0,,2,2,1,1,,8,,Departamento,P,6,-33.449728,-70.638445,Santiago,Lira
1544268961,3990,31.0,126.0,126.0,,,3,1,,,4,2,1,Departamento,N,69,-33.4442972,-70.6441267,Santiago,San Isidro
2814834384,3200,50.0,67.0,64.0,3.0,,3,2,1,1,22,10,17,,SO,8,-33.4499366,-70.6430477,Santiago,San Isidro
2842096420,3990,70.0,63.0,57.0,6.0,,2,2,1,1,9,10,5,Departamento,P,2,-33.4448608,-70.6426861,Santiago,Carmen
2861676510,3990,53.0,75.0,75.0,7.0,,3,2,1,1,24,11,2,Departamento,SO,15,-33.4488927,-70.6407097,Santiago,Manuel Antonio Tocornal
