id,monto,ppm2,superficie_t,superficie_u,terraza,dormitorios,banos,estacionamiento,bodegas,cantidad_pisos,piso,tipo_depto,antiguedad,latitud,longitud,comuna,calle,orientacion_norm,Or_N,Or_S,Or_E,Or_O
1585580389,7500,104.0,88.0,72.0,16.0,2.0,3.0,1,1,12.0,8.0,Departamento,32.0,-33.4255712,-70.5632825,Las Condes,Avenida Manquehue Sur,NO,1,0,0,1
2770650816,21900,73.0,300.0,300.0,0.0,4.0,4.0,2,0,5.0,1.0,Departamento,16.0,-33.418453,-70.508621,Las Condes,Avenida Francisco Bulnes Correa,O,0,0,0,1
2765728992,8200,74.0,116.0,110.0,6.0,3.0,2.0,1,1,13.0,2.0,Departamento,32.0,-33.4245659,-70.5806495,Las Condes,Rodrigo De Triana,SE,0,1,1,0
2508404872,11000,78.0,162.0,140.0,0.0,4.0,3.0,2,1,17.0,3.0,Departamento,25.0,-33.4073568,-70.5754132,Las Condes,Los Militares,SE,0,1,1,0
2852915644,26500,76.0,397.0,345.0,0.0,6.0,5.0,4,0,3.0,3.0,Departamento,17.0,-33.380175,-70.516241,Las Condes,Camino La Viña,O,0,0,0,1
2822936324,7200,74.0,97.0,97.0,0.0,4.0,3.0,1,0,3.0,2.0,Departamento,50.0,-33.4231837,-70.584546,Las Condes,Martín De Zamora,O,0,0,0,1
2849194194,7200,74.0,97.0,97.0,0.0,4.0,3.0,1,0,3.0,2.0,Departamento,54.0,-33.4231837,-70.584546,Las Condes,Martín De Zamora,O,0,0,0,1
2859619818,13600,97.0,169.0,140.0,0.0,4.0,4.0,2,1,18.0,3.0,Departamento,25.0,-33.4241418,-70.5900637,Las Condes,Martín De Zamora,SE,0,1,1,0
1588995175,12000,85.0,140.0,140.0,10.0,4.0,3.0,1,1,4.0,1.0,Departamento,10.0,-33.4053249,-70.5078962,Las Condes,Universidad De Los Andes,SE,0,1,1,0
2852340764,9500,66.0,168.0,143.0,25.0,3.0,3.0,2,1,7.0,5.0,Departamento,40.0,-33.4277691,-70.57723,Las Condes,Felipe Ii,NO,1,0,0,1
2860925878,17900,89.0,200.0,200.0,12.0,3.0,3.0,2,1,4.0,4.0,Departamento,11.0,-33.390551,-70.4986871,Las Condes,Camino San Francisco De Asís,NSEO,1,1,1,1
2843726066,11500,92.0,124.0,124.0,12.0,3.0,2.0,2,1,19.0,17.0,Departamento,26.0,-33.4080389,-70.5753435,Las Condes,Los Militares,NO,1,0,0,1
1555531723,11200,93.0,120.0,120.0,9.0,3.0,3.0,0,0,4.0,4.0,Departamento,0.0,-33.40467,-70.5085943,Las Condes,Avenida San Carlos De Apoquindo,O,0,0,0,1
1572677963,13200,94.0,158.0,140.0,18.0,3.0,3.0,2,1,4.0,1.0,Departamento,11.0,-33.3961728,-70.5067986,Las Condes,Camino Las Flores,O,0,0,0,1
2841318600,5600,73.0,81.0,76.0,5.0,3.0,2.0,0,0,3.0,3.0,Departamento,57.0,-33.424193,-70.5818204,Las Condes,Avenida Cristóbal Colón,SE,0,1,1,0
1572677995,23000,104.0,270.0,220.0,20.0,3.0,4.0,2,1,5.0,3.0,Departamento,4.0,-33.4110597,-70.5046929,Las Condes,Carlos Peña Otaegui,N,1,0,0,0
2859497224,44000,141.0,337.28,310.0,27.28,3.0,5.0,3,1,1.0,1.0,Departamento,11.0,-33.3790278,-70.5220908,Las Condes,Fray León,NSEO,1,1,1,1
1565263257,17000,109.0,305.0,155.0,150.0,3.0,3.0,2,1,6.0,6.0,Departamento,8.0,-33.4249437,-70.587682,Las Condes,Nicolás De Ovando,N,1,0,0,0
1573082079,10100,84.0,136.0,120.0,0.0,3.0,3.0,2,1,11.0,9.0,Semi piso,0.0,-33.4288634,-70.5764263,Las Condes,Latadía,O,0,0,0,1
1583157791,9900,82.0,132.0,120.0,15.0,4.0,4.0,1,1,14.0,11.0,Departamento,16.0,-33.4236353,-70.5819423,Las Condes,Alicante,O,0,0,0,1
2841131096,10900,85.0,137.0,127.0,10.0,3.0,2.0,2,1,4.0,4.0,Departamento,15.0,-33.4041326,-70.5090127,Las Condes,Avenida San Carlos De Apoquindo,O,0,0,0,1
2855005356,21900,78.0,330.0,280.0,50.0,5.0,4.0,3,1,4.0,2.0,Departamento,10.0,-33.4182424,-70.5075458,Las Condes,Avenida Francisco Bulnes Correa,NSEO,1,1,1,1
1578798579,20500,94.0,248.0,217.0,31.0,4.0,5.0,2,1,5.0,3.0,Departamento,5.0,-33.4170565,-70.5075051,Las Condes,Avenida Francisco Bulnes Correa,O,0,0,0,1
1568372401,12800,91.0,140.0,140.0,0.0,4.0,3.0,2,1,12.0,3.0,Departamento,20.0,-33.4073568,-70.5754132,Las Condes,Los Militares,SE,0,1,1,0
1582485787,13440,96.0,170.0,140.0,30.0,4.0,4.0,2,1,15.0,3.0,Departamento,24.0,-33.4241418,-70.5900637,Las Condes,Martín De Zamora,SE,0,1,1,0
1587859777,8350,75.0,120.0,110.0,10.0,3.0,3.0,2,2,18.0,18.0,Departamento,31.0,-33.4250198,-70.587176,Las Condes,Avenida Cristóbal Colón,NO,1,0,0,1
1547768463,10200,107.0,138.0,95.0,43.0,2.0,2.0,1,1,16.0,16.0,Departamento,15.0,-33.4083179,-70.5733735,Las Condes,Flor De Azucena,SE,0,1,1,0
2818410478,5200,144.0,43.0,36.0,7.0,1.0,1.0,1,1,8.0,8.0,Departamento,6.0,-33.3741546,-70.5172706,Las Condes,Camino San Francisco De Asís,N,1,0,0,0
2829592312,7600,105.0,87.0,72.0,15.0,2.0,2.0,1,1,12.0,8.0,Departamento,32.0,-33.4255171,-70.5633247,Las Condes,Avenida Manquehue Sur,NO,1,0,0,1
1570930303,14270,64.0,240.0,220.0,20.0,3.0,3.0,2,1,8.0,7.0,Departamento,25.0,-33.4269061,-70.5876512,Las Condes,Marco Polo,O,0,0,0,1
1572031593,19000,52.0,390.0,360.0,30.0,4.0,5.0,3,1,3.0,2.0,Departamento,0.0,-33.3771366,-70.5199394,Las Condes,Fray León,O,0,0,0,1
1540926959,9700,87.0,118.5,111.0,7.5,4.0,3.0,1,1,13.0,8.0,Departamento,31.0,-33.4245977,-70.580621,Las Condes,Rodrigo De Triana,NSEO,1,1,1,1
1577336785,18500,68.0,269.0,269.0,0.0,5.0,5.0,2,1,7.0,3.0,Departamento,15.0,-33.4182705,-70.5074587,Las Condes,Avenida Francisco Bulnes Correa,NSEO,1,1,1,1
2859053378,6700,191.0,75.0,35.0,40.0,1.0,1.0,2,1,12.0,11.0,Departamento,10.0,-33.4099579,-70.5723838,Las Condes,Avenida Apoquindo,SE,0,1,1,0
1538455917,15000,94.0,170.0,158.0,12.0,4.0,4.0,2,1,22.0,15.0,Departamento,29.0,-33.4241053,-70.5891936,Las Condes,Martín De Zamora,NO,1,0,0,1
2863873014,3800,118.0,32.0,32.0,0.0,1.0,1.0,1,1,12.0,5.0,Departamento,21.0,-33.4260283,-70.5891007,Las Condes,Monte Alegre,O,0,0,0,1
1544072643,5490,70.0,98.0,78.0,20.0,3.0,2.0,1,1,22.0,10.0,Departamento,45.0,-33.4264511,-70.5526931,Las Condes,Lolco,SE,0,1,1,0
1560175807,11200,84.0,165.0,133.0,32.0,4.0,3.0,4,1,21.0,21.0,Departamento,28.0,-33.4246557,-70.5868698,Las Condes,Pasaje Blanca Nieves,NO,1,0,0,1
