link,nombre,fecha_consultado,fecha_publicado,divisa,monto,ppm2,ppm2_avg,superficie_t,superficie_u,terraza,ambientes,dormitorios,banos,ubicacion,estacionamiento,bodegas,cantidad_pisos,dep_por_piso,piso,tipo_depto,orientacion,antiguedad,gastos_comunes,coordenadas
https://portalinmobiliario.com/MLC-1549700837-departamento-en-venta-en-santiago-_JM#polycard_client=search-nordic&position=18&search_layout=grid&type=item&tracking_id=2a4fcc58-cbf2-423d-a5a5-d6a4af7479c0,Departamento En Venta En Santiago,2025-05-12,,UF,1.650,58 UF/m²,68 UF/m²,28 m²,28 m²,1 m²,,1,1,"Eleuterio Ramírez/ San Francisco, San Diego, Santiago, RM (Metropolitana)",,,25,25,11,Departamento,O,15 años,,-33.4483087%2C-70.6455527
https://portalinmobiliario.com/MLC-1583254863-departamento-seminuevo-_JM#polycard_client=search-nordic&position=38&search_layout=grid&type=item&tracking_id=9f8e73c3-de98-4be4-b249-6f0fbe2ca06b,Departamento Seminuevo,2025-05-12,Publicado hace 2 meses,UF,2.540,72 UF/m²,68 UF/m²,38 m²,35 m²,3 m²,,1,1,"Arturo Prat 636, Santiago, San Diego, Santiago, RM (Metropolitana)",,,,,,Departamento,,5 años,,-33.4530258%2C-70.6484349
https://portalinmobiliario.com/MLC-2741807912-depto-dos-ambientes-en-excelente-ubicacion-a-pasos-metro-_JM#polycard_client=search-nordic&position=6&search_layout=grid&type=item&tracking_id=b9121891-7185-426c-962d-63f277c3c81b,Depto. Dos Ambientes En Excelente Ubicación A Pasos Metro,2025-05-12,Publicado hace 1 año,UF,2.190,54 UF/m²,68 UF/m²,44 m²,40 m²,4 m²,,2,1,"Edificio Conecta - Arturo Prat 399, Santiago, Chile, San Diego, Santiago, RM (Metropolitana)",,,24,8,21,Departamento,,8 años,,-33.450117%2C-70.6493862
https://portalinmobiliario.com/MLC-2854071658-depto-1-dormitorio-en-lord-cochrane-625-metro-toesca-_JM#polycard_client=search-nordic&position=41&search_layout=grid&type=item&tracking_id=5f2708e1-903c-4f85-8df2-1a9a7fe67554,Depto 1 Dormitorio En Lord Cochrane 625 / Metro Toesca,2025-05-12,Publicado hace 2 meses,UF,1.900,63 UF/m²,68 UF/m²,30 m²,30 m²,,,1,1,"Lord Cochrane 635, Santiago, Parque Almagro, Santiago, RM (Metropolitana)",,,28,10,10,Departamento,P,16 años,,-33.4537559%2C-70.65442
https://portalinmobiliario.com/MLC-2755250644-edificio-nataniel-cox-vista-sur-piso-9-_JM#polycard_client=search-nordic&position=22&search_layout=grid&type=item&tracking_id=41846953-5d64-4651-be20-ee47c29968cc,Edificio Nataniel Cox Vista Sur Piso 9,2025-05-12,Publicado hace 6 meses por Assetplan Chile,UF,3.100,77 UF/m²,68 UF/m²,40 m²,40 m²,,2,1,1,"Nataniel Cox 683, Parque Almagro, Santiago, RM (Metropolitana)",,,17,12,9,,S,,,-33.454273%2C-70.652794
https://portalinmobiliario.com/MLC-2858213386-amplio-con-estac-frente-universidad-central-78592-_JM#polycard_client=search-nordic&position=44&search_layout=grid&type=item&tracking_id=41846953-5d64-4651-be20-ee47c29968cc,Amplio Con Estac. Frente Universidad Central  (78592),2025-05-12,Publicado hace 56 días,$,92.000.000,56 UF/m²,68 UF/m²,46 m²,42 m²,4 m²,,1,1,"Mencía De Los Nidos 900 - 1200, Santiago, Chile, Parque Almagro, Santiago, RM (Metropolitana)",1,,29,5,13,Departamento,S,15 años,,-33.4511226%2C-70.6507142
https://portalinmobiliario.com/MLC-2830622596-departamento-en-venta-en-santiago-_JM#polycard_client=search-nordic&position=5&search_layout=grid&type=item&tracking_id=6f0a3be9-ae57-4b5a-9097-db31ab6e62a1,Departamento En Venta En Santiago,2025-05-12,,UF,2.450,40 UF/m²,57 UF/m²,63 m²,60 m²,3 m²,,2,2,"Roberto Espinoza, Parque Almagro, Santiago, RM (Metropolitana)",,,17,9,3,Departamento,O,23 años,,-33.450713%2C-70.6537919
https://portalinmobiliario.com/MLC-2835953644-parque-almagro-_JM#polycard_client=search-nordic&position=1&search_layout=grid&type=item&tracking_id=eedb3a7b-785c-4b38-aeb8-94fbc986f47e,Parque Almagro ,2025-05-12,Publicado hace 3 meses,UF,1.950,65 UF/m²,68 UF/m²,3 m²,30 m²,33 m²,1,1,1,"Parque Almagro, Parque Almagro, Santiago, RM (Metropolitana)",,,33,15,4,Departamento,O,10 años,,-33.4539477%2C-70.6559472
https://portalinmobiliario.com/MLC-2850278106-venta-departamento-metro-toesca-oportunidad-unica-_JM#polycard_client=search-nordic&position=26&search_layout=grid&type=item&tracking_id=eedb3a7b-785c-4b38-aeb8-94fbc986f47e,Venta Departamento Metro Toesca. Oportunidad Única! ,2025-05-12,Publicado hace 2 meses,UF,3.500,53 UF/m²,57 UF/m²,65 m²,65 m²,2 m²,2,2,2,"Santiago Metro Toesca, Parque Almagro, Santiago, RM (Metropolitana)",1,1,15,8,14,Departamento,NP,10 años,,-33.4566164%2C-70.655479
https://portalinmobiliario.com/MLC-1591516503-hermoso-departamento-en-santiago-centro-_JM#polycard_client=search-nordic&position=34&search_layout=grid&type=item&tracking_id=67c611d0-c9e4-4048-bee8-20565fdaf99c,Hermoso Departamento En Santiago Centro,2025-05-12,Publicado hace 46 días,$,90.000.000,70 UF/m²,73 UF/m²,33 m²,33 m²,1 m²,1,1,1,"Barrio Diez de Julio, Santiago, RM (Metropolitana)",,1,,6,9,Departamento,S,8 años,,-33.45446%2C-70.633971
https://portalinmobiliario.com/MLC-2791873210-dpto-2-dorm-2-banos-1-est-1-bod-san-isidro-santiago-_JM#polycard_client=search-nordic&position=40&search_layout=grid&type=item&tracking_id=a3b34b4e-7066-4980-9fb9-930b75d2cbff,"Dpto. 2 Dorm / 2 Baños / 1 Est / 1 Bod. San Isidro, Santiago",2025-05-12,Publicado hace 1 año,UF,4.100,63 UF/m²,68 UF/m²,68 m²,65 m²,,,2,2,"San Isidro 661, Santiago, Chile, Barrio Diez de Julio, Santiago, RM (Metropolitana)",1,1,,,4,Departamento,,,,-33.4525142%2C-70.6426725
