link,nombre,fecha_consultado,fecha_publicado,divisa,monto,ppm2,ppm2_avg,superficie_t,superficie_u,terraza,ambientes,dormitorios,banos,ubicacion,estacionamiento,bodegas,cantidad_pisos,dep_por_piso,piso,tipo_depto,orientacion,antiguedad,gastos_comunes,coordenadas
https://portalinmobiliario.com/MLC-2850051570,Departamento Luminoso Con Vista Al Mar,2025-04-05,,UF,2.400,37 UF/m²,61 UF/m²,64 m²,64 m²,,4,3,1,"Parque Brasil, Antofagasta, Antofagasta",,,6,2,5,Departamento,SO,0 años,,-23.660121%2C-70.3939415
https://portalinmobiliario.com/MLC-2834072508,Depto En Venta De 3 Dorm 2 Baños En Pleno Providencia ,2025-04-05,,UF,5.250,65 UF/m²,91 UF/m²,80 m²,80 m²,,,3,2,"Antonio Varas 1 - 300, Providencia, Pedro de Valdivia, Providencia, RM (Metropolitana)",,,6,6,,,,50 años,,-33.4286041%2C-70.6169856
https://portalinmobiliario.com/MLC-2851563262,Full Remodelado - Ubicación Privilegiada - 2 Dormitorios,2025-04-05,Publicado hace 36 días,UF,2.450,61 UF/m²,68 UF/m²,40 m²,40 m²,2 m²,,2,1,"Tarapacá 1200 - 1500, Bulnes, Santiago, RM (Metropolitana)",,,32,,,Departamento,S,11 años,,-33.447711%2C-70.6539554
https://portalinmobiliario.com/MLC-1546019803,Departamento En Venta De 4 Dorm. En Las Condes,2025-04-05,,UF,14.900,106 UF/m²,98 UF/m²,165 m²,140 m²,25 m²,,4,4,"San Francisco De Asís / Av. Plaza, San Carlos de Apoquindo, Las Condes, RM (Metropolitana)",2,1,4,3,1,Departamento,P,16 años,,-33.3904677%2C-70.4992432
https://portalinmobiliario.com/MLC-2836581998,Departamento En Venta De 1 Dorm. En Ñuñoa,2025-04-05,,UF,3.490,102 UF/m²,88 UF/m²,41 m²,34 m²,7 m²,,1,1,"Condell 1872, Metro Irarrázaval, Ñuñoa, RM (Metropolitana)",1,1,,,,Departamento,N,10 años,,-33.4524225%2C-70.6241109
https://portalinmobiliario.com/MLC-1573400839,"El Huinganal, 4 Dormitorios, Amplio, Vista A Jardines Visite",2025-04-05,,UF,12.990,92 UF/m²,101 UF/m²,163 m²,140 m²,23 m²,,4,4,"Cam. El Huinganal 3591, 7700141 Lo Barnechea, Región Metropolitana, Chile, El Huinganal, Lo Barnechea, RM (Metropolitana)",2,1,4,2,2,Departamento,NP,25 años,,-33.3353046%2C-70.5066791
https://portalinmobiliario.com/MLC-2850780644,"Mall Plaza Egaña, Oportunidad De Inversión, Plusvalía",2025-04-05,,UF,4.120,105 UF/m²,110 UF/m²,42 m²,39 m²,3 m²,2,,,Revisa el remitente de los e-mails y asegúrate que sean enviados por Portalinmobiliario.com o tu asesor inmobiliario designado.,,,,,,,,,,-33.4538204%2C-70.5737557
https://portalinmobiliario.com/MLC-1579420531,En Venta Amplio Departamento En Avenida De Sector Sur ,2025-04-05,Publicado hace 43 días,UF,3.050,43 UF/m²,62 UF/m²,75 m²,70 m²,5 m²,,3,1,"Nicanor Pl. 1200 - 1500, Antofagasta, Playa Blanca, Antofagasta, Antofagasta",1,,5,1,5,Departamento,,,,-23.6745599%2C-70.4031947
https://portalinmobiliario.com/MLC-1580893361,Oportunidad Departamento En Maipu,2025-04-05,Publicado hace 38 días,$,45.000.000,19 UF/m²,48 UF/m²,60 m²,60 m²,2 m²,,2,1,"Del Cacique, Maipú, Hospital El Carmen de Maipú, Maipú, RM (Metropolitana)",,,1,2,3,Departamento,SP,30 años,,-33.5078138%2C-70.7872209
https://portalinmobiliario.com/MLC-2857478344,Moderno Y Exclusivo Departamento 2 Dorm. En Lo Barnechea,2025-04-05,Publicado hace 22 días,UF,10.500,109 UF/m²,99 UF/m²,110 m²,96 m²,14 m²,,2,,Verifica que el inmueble exista y desconfía si te dicen que necesitan vender o arrendar con urgencia.,,,,,,,,,,-33.356144%2C-70.5246523
https://portalinmobiliario.com/MLC-1588210383,Venta Departamento Santiago 2 Dormitorios Terraza Nor-orient,2025-04-05,Publicado hace 18 días por Fuenzalida Santiago Centro,$,90.000.000,50 UF/m²,68 UF/m²,51 m²,46 m²,5 m²,,2,1,"Curico/santa Rosa, Santa Isabel, Santiago, RM (Metropolitana)",,,25,6,11,Departamento,,15 años,,-33.4459432%2C-70.6451382
https://portalinmobiliario.com/MLC-2786005724,Impecable Departamento Metro Universidad De Chile,2025-04-05,Publicado hace 2 años,UF,3.150,48 UF/m²,57 UF/m²,65 m²,65 m²,3 m²,,3,2,"San Francisco 294, Santiago, Chile, Bulnes, Santiago, RM (Metropolitana)",,1,1,10,18,Departamento,O,11 años,,-33.4482857%2C-70.6468747
https://portalinmobiliario.com/MLC-2858108204,Amplio Y Acogedor Dúplex Cercano A Metro Línea 3 Y 6 Ñuñoa,2025-04-05,Publicado hace 19 días,UF,7.160,71 UF/m²,82 UF/m²,105 m²,100 m²,5 m²,,3,3,"Av. Ricardo Lyon 3000 - 3300, Ñuñoa, Metro Ñuñoa, Ñuñoa, RM (Metropolitana)",1,1,2,3,4,Dúplex,,23 años,,-33.4491591%2C-70.6028109
https://portalinmobiliario.com/MLC-1578421703,Opotunidad Hermoso Depto Ubicado En José Miguel Carrera,2025-04-05,,UF,2.600,61 UF/m²,68 UF/m²,42 m²,42 m²,,,1,1,"José Miguel Carrera  298, Ejército - Toesca, Santiago, RM (Metropolitana)",,1,10,,3,Departamento,,,,-33.4514624%2C-70.6630597
https://portalinmobiliario.com/MLC-2855388264,"Departamento En Venta, Plan De Valparaíso",2025-04-05,Publicado hace 25 días,UF,4.000,85 UF/m²,78 UF/m²,54 m²,47 m²,7 m²,,2,2,"Departamento En Plan De Valparaíso, Almendral, Valparaíso, Valparaíso",1,1,2,,,Departamento,,19 años,,-33.043925%2C-71.6169142
https://portalinmobiliario.com/MLC-2743310284,Departamento En Venta De 3 Dorm. En La Florida,2025-04-05,,$,150.000.000,65 UF/m²,56 UF/m²,67 m²,59 m²,8 m²,,3,1,"Se Vende Depto 3d2b En Alonso De Ercilla, La Florida, RM (Metropolitana)",1,,5,,4,Departamento,O,5 años,,-33.5317769%2C-70.5840725
https://portalinmobiliario.com/MLC-2843218430,Moderno Depto Sin Comision,2025-04-05,Publicado hace 54 días,UF,2.550,79 UF/m²,72 UF/m²,"34,52 m²",32 m²,"2,52 m²",,1,,Verifica que el inmueble exista y desconfía si te dicen que necesitan vender o arrendar con urgencia.,,,,,,,,,,-33.4507939%2C-70.6411658
https://portalinmobiliario.com/MLC-2846324476,Venta Departamento Villa Alemana 2 D 1 B,2025-04-05,Publicado hace 7 meses,$,41.000.000,22 UF/m²,70 UF/m²,47 m²,47 m²,,,2,1,"Los Zapadores 936, Palmilla, Villa Alemana, Valparaíso",1,,3,4,3,Departamento,,,,-33.0644391%2C-71.3749427
https://portalinmobiliario.com/MLC-2848757318,Domingo Santa María (74104),2025-04-05,Publicado hace 43 días,UF,2.000,64 UF/m²,61 UF/m²,34 m²,31 m²,3 m²,,1,1,"Avenida Domingo Santa María 2400 - 2700, Independencia, Chile, Mirador Viejo, Independencia, RM (Metropolitana)",1,,11,6,9,Departamento,NP,6 años,,-33.4150984%2C-70.6702524
https://portalinmobiliario.com/MLC-1584688411,En Venta Departamento Con Hermosa Vista A La Ciudad,2025-04-05,,UF,2.950,77 UF/m²,175 UF/m²,43 m²,38 m²,5 m²,1,1,1,"Bartolome Vivar , Calama, Sur de Calama, Calama, Antofagasta",,,16,8,,Departamento,SO,13 años,,-22.4656602%2C-68.9238402
https://portalinmobiliario.com/MLC-1587098805,Edificio En Sector Residencial De Macul Oportunidad¡,2025-04-05,Publicado hace 21 días,UF,4.025,55 UF/m²,61 UF/m²,78 m²,73 m²,5 m²,,3,2,"Exequiel Fernández, Macul, Escuela Agrícola, Macul, RM (Metropolitana)",1,1,18,4,17,Departamento,N,18 años,,-33.4901276%2C-70.6017458
https://portalinmobiliario.com/MLC-2844818864,Se Vende Departamento Sector Costa Laguna,2025-04-05,Publicado hace 51 días,UF,4.000,50 UF/m²,51 UF/m²,80 m²,80 m²,,,3,2,"Sergio Ortega 380, Antofagasta, Costa Laguna, Antofagasta, Antofagasta",1,1,,,,Departamento,S,0 años,,-23.5275347%2C-70.4017895
https://portalinmobiliario.com/MLC-2825218546,Departamento Portugal Id: 135505,2025-04-05,Publicado hace 2 meses por Houm,UF,2.000,62 UF/m²,72 UF/m²,32 m²,32 m²,,1,1,1,"Portugal, Barrio Diez de Julio, Santiago, RM (Metropolitana)",,,,,,Departamento,,12 años,,-33.4546865%2C-70.6335659
https://portalinmobiliario.com/MLC-1591070487,Impecable - Con Renta - A Pasos De Metro Parque Almagro,2025-04-05,Publicado hace 10 días,UF,2.990,0 UF/m²,68 UF/m²,58 m²,,,3,2,1,"Eyzaguirre, San Diego, Santiago, RM (Metropolitana)",,,15,,,,,5 años,,-33.4520658%2C-70.6466832
